16:48:18 [warn]  warning information
16:48:18 [info]  info information
16:51:48 [info]  Server Started
17:27:28 [info]  Server Started
17:30:13 [info]  Server Started
17:31:46 [info]  Server Started
17:36:28 [info]  Server Started
17:36:40 [info]  Server Started
17:40:08 [info]  Server Started
17:40:08 [info]  Inside calculator function
17:40:08 [info]  Answer Returned
17:41:04 [info]  Server Started
17:41:04 [info]  Function call
17:41:04 [info]  Inside calculator function
17:41:04 [info]  Answer Returned
